,Host,populationTrend
4521,Crocidura pergrisea,Unknown
4522,Crocidura shantungensis,Stable
4523,Crocidura susiana,Unknown
4524,Crocidura tenuis,Unknown
4525,Crocidura bottegoides,Decreasing
4526,Crocidura elgonius,Decreasing
4527,Crocidura erica,Unknown
4528,Crocidura fischeri,Unknown
4529,Crocidura foxi,Unknown
4530,Crocidura harenna,Decreasing
4531,Crocidura macmillani,Unknown
4532,Crocidura macowi,Unknown
4533,Crocidura pitmani,Unknown
4534,Crocidura ultima,Unknown
4535,Crocidura zimmeri,Unknown
4536,Crossomys moncktoni,Unknown
4537,Crunomys fallax,Unknown
4538,Ctenomys boliviensis,Stable
4539,Ctenomys mendocinus,Unknown
4540,Ctenomys torquatus,Unknown
4541,Cynomys ludovicianus,Decreasing
4542,Dasymys incomtus,Unknown
4543,Dasymys montanus,Decreasing
4544,Dasymys rufulus,Unknown
4545,Delomys dorsalis,Decreasing
4546,Dendromus messorius,Stable
4547,Dendromus mystacalis,Stable
4548,Dendromus nyikae,Unknown
4549,Dendromus oreas,Unknown
4550,Dendromus vernayi,Unknown
4551,Dendroprionomys rousseloti,Unknown
4552,Deomys ferrugineus,Stable
4553,Desmodilliscus braueri,Stable
4554,Desmodillus auricularis,Stable
4555,Desmomys harringtoni,Unknown
4556,Dicrostonyx torquatus,Stable
4557,Dicrostonyx vinogradovi,Unknown
4558,Dipodomys compactus,Stable
4559,Dipodomys ordii,Stable
4560,Dipus sagitta,Stable
4561,Dremomys lokriah,Decreasing
4562,Dremomys pernyi,Stable
4563,Dremomys pyrrhomerus,Unknown
4564,Dryomys nitedula,Unknown
4565,Eligmodontia moreni,Stable
4566,Eligmodontia morgani,Stable
4567,Eligmodontia puerulus,Stable
4568,Ellobius alaicus,Unknown
4569,Ellobius talpinus,Unknown
4570,Ellobius tancrei,Unknown
4571,Eolagurus luteus,Unknown
4572,Eolagurus przewalskii,Unknown
4573,Caryomys eva,Unknown
4574,Caryomys inez,Unknown
4575,Eothenomys melanogaster,Stable
4576,Eothenomys olitor,Unknown
4577,Myodes regulus,Stable
4578,Eptesicus diminutus,Unknown
4579,Eropeplus canus,Decreasing
4580,Euchoreutes naso,Unknown
4581,Euneomys petersoni,Stable
4582,Exilisciurus exilis,Unknown
4583,Funambulus palmarum,Increasing
4584,Funambulus pennantii,Unknown
4585,Funisciurus carruthersi,Unknown
4586,Funisciurus anerythrus,Unknown
4587,Funisciurus bayonii,Unknown
4588,Funisciurus congicus,Stable
4589,Funisciurus isabella,Unknown
4590,Funisciurus lemniscatus,Unknown
4591,Funisciurus pyrropus,Stable
4592,Funisciurus substriatus,Unknown
4593,Geoxus valdivianus,Stable
4594,Gerbillurus paeba,Stable
4595,Gerbillurus vallinus,Stable
4596,Gerbillus aquilus,Unknown
4597,Gerbillus cheesmani,Stable
4598,Gerbillus cosensis,Unknown
4599,Gerbillus dunni,Unknown
4600,Gerbillus gerbillus,Stable
4601,Gerbillus harwoodi,Stable
4602,Gerbillus henleyi,Unknown
4603,Gerbillus mesopotamiae,Decreasing
4604,Gerbillus nigeriae,Stable
4605,Glaucomys volans,Stable
4606,Golunda ellioti,Stable
4607,Grammomys caniceps,Unknown
4608,Grammomys cometes,Unknown
4609,Grammomys dolichurus,Unknown
4610,Grammomys gigas,Unknown
4611,Grammomys ibeanus,Unknown
4612,Grammomys macmillani,Unknown
4613,Grammomys minnae,Decreasing
4614,Grammomys kuru,Unknown
4615,Graphiurus christyi,Unknown
4616,Graphiurus crassicaudatus,Unknown
4617,Graphiurus kelleni,Unknown
4618,Graphiurus lorraineus,Unknown
4619,Graphiurus murinus,Stable
4620,Graphiurus platyops,Unknown
4621,Graphiurus surdus,Unknown
4622,Haeromys margarettae,Unknown
4623,Heliophobius argenteocinereus,Stable
4624,Heliosciurus gambianus,Unknown
4625,Heliosciurus mutabilis,Unknown
4626,Heliosciurus punctatus,Unknown
4627,Heliosciurus rufobrachium,Unknown
4628,Heliosciurus undulatus,Unknown
4629,Heterocephalus glaber,Stable
4630,Heteromys australis,Stable
4631,Holochilus brasiliensis,Stable
4632,Holochilus chacarius,Decreasing
4633,Lundomys molitor,Decreasing
4634,Holochilus sciureus,Stable
4635,Hybomys basilii,Unknown
4636,Hybomys lunaris,Stable
4637,Hybomys trivirgatus,Stable
4638,Hybomys univittatus,Stable
4639,Hydromys chrysogaster,Unknown
4640,Hydromys neobritannicus,Unknown
4641,Baiyankamys shawmayeri,Stable
4642,Hylomyscus baeri,Decreasing
4643,Hylomyscus parvus,Stable
4644,Hylomyscus alleni,Stable
4645,Hylomyscus carillus,Unknown
4646,Hylopetes bartelsi,Unknown
4647,Hylopetes spadiceus,Unknown
4648,Hyomys dammermani,Unknown
4649,Hyosciurus ileile,Decreasing
4650,Hyperacrius fertilis,Unknown
4651,Hypsignathus monstrosus,Unknown
4652,Hystrix africaeaustralis,Stable
4653,Hystrix brachyura,Decreasing
4654,Iomys horsfieldii,Stable
4655,Iomys sipora,Decreasing
4656,Irenomys tarsalis,Stable
4657,Isoodon auratus,Decreasing
4658,Jaculus blanfordi,Decreasing
4659,Komodomys rintjanus,Stable
4660,Lagurus lagurus,Stable
4661,Lamottemys okuensis,Decreasing
4662,Lariscus niobe,Unknown
4663,Lasiopodomys brandtii,Stable
4664,Lasiopodomys mandarinus,Unknown
4665,Lasiurus intermedius,Unknown
4666,Leggadina forresti,Unknown
4667,Leimacomys buettneri,Unknown
4668,Lemmus amurensis,Unknown
4669,Lemmus sibiricus,Stable
4670,Lemniscomys griselda,Stable
4671,Lemniscomys hoogstraali,Unknown
4672,Lemniscomys macculus,Stable
4673,Lemniscomys rosalia,Stable
4674,Lemniscomys roseveari,Unknown
4675,Leopoldamys edwardsi,Unknown
4676,Leptomys elegans,Unknown
4677,Lepus yarkandensis,Decreasing
4678,Lophuromys cinereus,Unknown
4679,Lophuromys nudicaudus,Unknown
4680,Lophuromys sikapusi,Unknown
4681,Lorentzimys nouhuysi,Stable
4682,Macrotarsomys ingens,Decreasing
4683,Malacomys edwardsi,Unknown
4684,Malacomys longipes,Unknown
4685,Malacothrix typica,Stable
4686,Mallomys aroaensis,Unknown
4687,Mallomys istapantap,Unknown
4688,Marmosa xerophila,Decreasing
4689,Marmosops invictus,Stable
4690,Marmota himalayana,Unknown
4691,Marmota baibacina,Unknown
4692,Marmota bobak,Stable
4693,Marmota camtschatica,Unknown
4694,Mastomys erythroleucus,Stable
4695,Mastomys natalensis,Stable
4696,Maxomys dollmani,Unknown
4697,Maxomys hellwaldii,Decreasing
4698,Maxomys hylomyoides,Unknown
4699,Maxomys inflatus,Decreasing
4700,Maxomys pagensis,Decreasing
4701,Maxomys wattsi,Decreasing
4702,Melanomys caliginosus,Stable
4703,Melomys aerosus,Decreasing
4704,Melomys burtoni,Stable
4705,Paramelomys lorentzii,Unknown
4706,Paramelomys platyops,Stable
4707,Mammelomys rattoides,Unknown
4708,Paramelomys rubex,Stable
4709,Melomys rufescens,Stable
4710,Menetes berdmorei,Stable
4711,Meriones arimalius,Unknown
4712,Meriones hurrianae,Unknown
4713,Meriones libycus,Stable
4714,Meriones meridianus,Unknown
4715,Meriones rex,Unknown
4716,Meriones tamariscinus,Unknown
4717,Meriones unguiculatus,Unknown
4718,Meriones vinogradovi,Unknown
4719,Mesechinus hughi,Decreasing
4720,Mesocricetus raddei,Stable
4721,Microryzomys altissimus,Unknown
4722,Microryzomys minutus,Unknown
4723,Microtus agrestis,Stable
4724,Microtus daghestanicus,Unknown
4725,Microtus evoronensis,Unknown
4726,Microtus fortis,Unknown
4727,Microtus gregalis,Stable
4728,Microtus limnophilus,Unknown
4729,Microtus maximowiczii,Unknown
4730,Microtus mexicanus,Unknown
4731,Microtus middendorffii,Unknown
4732,Microtus mongolicus,Stable
4733,Microtus montebelli,Stable
4734,Microtus mujanensis,Unknown
4735,Microtus nasarovi,Unknown
4736,Microtus oeconomus,Stable
4737,Microtus pennsylvanicus,Stable
4738,Microtus socialis,Stable
4739,Microtus townsendii,Stable
4740,Millardia gleadowi,Unknown
4741,Millardia meltada,Stable
4742,Mogera tokudae,Decreasing
4743,Mus booduga,Stable
4744,Mus bufo,Stable
4745,Mus caroli,Stable
4746,Mus cookii,Stable
4747,Mus crociduroides,Unknown
4748,Mus goundae,Unknown
4749,Mus indutus,Stable
4750,Mus macedonicus,Stable
4751,Mus mahomet,Stable
4752,Mus minutoides,Stable
4753,Mus oubanguii,Unknown
4754,Mus pahari,Stable
4755,Mus phillipsi,Stable
4756,Mus saxicola,Stable
4757,Mus setzeri,Stable
4758,Mus shortridgei,Stable
4759,Mus tenellus,Stable
4760,Mus terricolor,Stable
4761,Mus triton,Stable
4762,Mus vulcani,Stable
4763,Myopus schisticolor,Unknown
4764,Myosciurus pumilio,Unknown
4765,Myosorex geata,Decreasing
4766,Myosorex schalleri,Unknown
4767,Myosorex okuensis,Decreasing
4768,Myosorex rumpii,Decreasing
4769,Myospalax aspalax,Unknown
4770,Eospalax fontanierii,Unknown
4771,Myospalax psilurus,Stable
4772,Eospalax rothschildi,Unknown
4773,Eospalax smithii,Unknown
4774,Myotis aelleni,Unknown
4775,Myotis elegans,Unknown
4776,Myotis levis,Unknown
4777,Nannosciurus melanotis,Decreasing
4778,Neacomys spinosus,Stable
4779,Nectomys palmipes,Unknown
4780,Nectomys rattus,Stable
4781,Nectomys squamipes,Unknown
4782,Neopteryx frosti,Decreasing
4783,Neotoma albigula,Stable
4784,Neotoma goldmani,Decreasing
4785,Neotoma mexicana,Stable
4786,Neotoma micropus,Stable
4787,Nesokia indica,Unknown
4788,Niviventer confucianus,Stable
4789,Niviventer fulvescens,Decreasing
4790,Niviventer hinpoon,Unknown
4791,Niviventer langbianis,Decreasing
4792,Notiomys edwardsii,Stable
4793,Notomys mitchellii,Stable
4794,Nyctomys sumichrasti,Stable
4795,Octodon bridgesi,Decreasing
4796,Oecomys bicolor,Unknown
4797,Oecomys rex,Stable
4798,Oecomys roberti,Unknown
4799,Oecomys rutilus,Unknown
4800,Oecomys speciosus,Stable
4801,Oecomys superans,Stable
4802,Oenomys hypoxanthus,Stable
4803,Oligoryzomys andinus,Stable
4804,Oligoryzomys chacoensis,Stable
4805,Oligoryzomys destructor,Stable
4806,Oligoryzomys eliurus,Decreasing
4807,Oligoryzomys flavescens,Stable
4808,Oligoryzomys fulvescens,Stable
4809,Oligoryzomys longicaudatus,Stable
4810,Oligoryzomys microtis,Stable
4811,Onychomys arenicola,Stable
4812,Onychomys leucogaster,Stable
4813,Onychomys torridus,Stable
4814,Orthogeomys hispidus,Stable
4815,Nephelomys albigularis,Decreasing
4816,Handleyomys alfaroi,Stable
4817,Oryzomys couesi,Unknown
4818,Euryoryzomys macconnelli,Unknown
4819,Euryoryzomys nitidus,Stable
4820,Handleyomys rostratus,Stable
4821,Cerradomys subflavus,Decreasing
4822,Aegialomys xanthaeolus,Stable
4823,Hylaeamys yunganus,Stable
4824,Otomys angoniensis,Stable
4825,Otonyctomys hatti,Unknown
4826,Ototylomys phyllotis,Stable
4827,Oxymycterus angularis,Unknown
4828,Oxymycterus delator,Stable
4829,Oxymycterus hispidus,Stable
4830,Brucepattersonius iheringi,Decreasing
4831,Oxymycterus nasutus,Unknown
4832,Oxymycterus roberti,Unknown
4833,Oxymycterus rufus,Decreasing
4834,Palawanomys furvus,Unknown
4835,Panthera leo,Decreasing
4836,Cratogeomys castanops,Stable
4837,Paracrocidura graueri,Unknown
4838,Paradipus ctenodactylus,Unknown
4839,Paraleptomys wilhelmina,Unknown
4840,Paraxerus alexandri,Unknown
4841,Paraxerus boehmi,Unknown
4842,Paraxerus cepapi,Stable
4843,Paraxerus flavovittis,Unknown
4844,Paraxerus lucifer,Unknown
4845,Paraxerus ochraceus,Stable
4846,Paraxerus palliatus,Unknown
4847,Paraxerus poensis,Unknown
4848,Paraxerus vincenti,Decreasing
4849,Parotomys brantsii,Stable
4850,Parotomys littledalei,Stable
4851,Paruromys dominator,Stable
4852,Paulamys naso,Decreasing
4853,Pectinator spekei,Unknown
4854,Pedetes capensis,Unknown
4855,Pelomys campanae,Unknown
4856,Pelomys fallax,Unknown
4857,Pelomys minor,Unknown
4858,Perognathus flavescens,Stable
4859,Perognathus flavus,Stable
4860,Perognathus longimembris,Stable
4861,Perognathus merriami,Stable
4862,Peromyscus boylii,Stable
4863,Peromyscus crinitus,Stable
4864,Peromyscus difficilis,Stable
4865,Peromyscus gratus,Unknown
4866,Peromyscus leucopus,Stable
4867,Peromyscus levipes,Unknown
4868,Peromyscus megalops,Unknown
4869,Peromyscus melanophrys,Stable
4870,Peromyscus melanotis,Unknown
4871,Peromyscus merriami,Unknown
4872,Peromyscus nasutus,Unknown
4873,Peromyscus pectoralis,Stable
4874,Peromyscus spicilegus,Decreasing
4875,Peromyscus truei,Stable
4876,Petaurillus hosei,Unknown
4877,Petaurillus kinlochii,Unknown
4878,Petaurista alborufus,Unknown
4879,Petaurista leucogenys,Unknown
4880,Petaurista petaurista,Decreasing
4881,Petaurista xanthotis,Unknown
4882,Petinomys genibarbis,Decreasing
4883,Petinomys vordermanni,Decreasing
4884,Petromyscus collinus,Stable
4885,Petromyscus monticularis,Stable
4886,Phodopus campbelli,Stable
4887,Phodopus roborovskii,Stable
4888,Phodopus sungorus,Unknown
4889,Phyllotis amicus,Stable
4890,Phyllotis andium,Stable
4891,Phyllotis haggardi,Stable
4892,Phyllotis magister,Stable
4893,Phyllotis wolffsohni,Stable
4894,Pithecheir melanurus,Decreasing
4895,Pithecheir parvus,Unknown
4896,Platacanthomys lasiurus,Decreasing
4897,Platyrrhinus aurarius,Stable
4898,Pogonomys championi,Stable
4899,Pogonomys loriae,Unknown
4900,Pogonomys macrourus,Unknown
4901,Pogonomys sylvestris,Unknown
4902,Praomys hartwigi,Decreasing
4903,Praomys jacksoni,Stable
4904,Praomys morio,Decreasing
4905,Procapra picticaudata,Decreasing
4906,Procapra gutturosa,Stable
4907,Protoxerus stangeri,Unknown
4908,Psammomys obesus,Stable
4909,Pseudomys oralis,Decreasing
4910,Pseudomys shortridgei,Decreasing
4911,Pseudomys albocinereus,Stable
4912,Pseudomys delicatulus,Unknown
4913,Pseudomys desertor,Decreasing
4914,Pseudomys hermannsburgensis,Stable
4915,Pseudomys johnsoni,Stable
4916,Pseudomys nanus,Decreasing
4917,Pseudomys patrius,Unknown
4918,Pseudoryzomys simplex,Unknown
4919,Pteromys volans,Decreasing
4920,Pteronotus personatus,Stable
4921,Pteropus ocularis,Decreasing
4922,Pygeretmus platyurus,Unknown
4923,Pygeretmus pumilio,Unknown
4924,Rattus tawitawiensis,Unknown
4925,Rattus argentiventer,Stable
4926,Rattus bontanus,Unknown
4927,Rattus enganus,Decreasing
4928,Rattus everetti,Stable
4929,Rattus exulans,Stable
4930,Rattus fuscipes,Stable
4931,Rattus hainaldi,Decreasing
4932,Rattus hoogerwerfi,Decreasing
4933,Rattus leucopus,Stable
4934,Rattus losea,Increasing
4935,Rattus lugens,Decreasing
4936,Rattus lutreolus,Decreasing
4937,Rattus nitidus,Stable
4938,Rattus palmarum,Unknown
4939,Rattus pelurus,Unknown
4940,Rattus praetor,Stable
4941,Rattus ranjiniae,Decreasing
4942,Rattus andamanensis,Stable
4943,Rattus simalurensis,Decreasing
4944,Rattus sordidus,Stable
4945,Rattus stoicus,Stable
4946,Rattus tanezumi,Increasing
4947,Rattus tunneyi,Unknown
4948,Rattus pyctoris,Unknown
4949,Rattus villosissimus,Unknown
4950,Rattus xanthurus,Decreasing
4951,Reithrodon auritus,Stable
4952,Reithrodontomys fulvescens,Stable
4953,Reithrodontomys gracilis,Stable
4954,Reithrodontomys megalotis,Stable
4955,Reithrodontomys mexicanus,Stable
4956,Reithrodontomys montanus,Stable
4957,Reithrodontomys sumichrasti,Stable
4958,Reithrodontomys zacatecae,Unknown
4959,Rhipidomys latimanus,Decreasing
4960,Rhipidomys leucodactylus,Unknown
4961,Rhipidomys mastacalis,Unknown
4962,Rhipidomys wetzeli,Stable
4963,Rhizomys pruinosus,Stable
4964,Rhizomys sinensis,Unknown
4965,Rhizomys sumatrensis,Unknown
4966,Rhombomys opimus,Stable
4967,Ruwenzorisorex suncoides,Unknown
4968,Saccostomus campestris,Stable
4969,Saccostomus mearnsi,Stable
4970,Salpingotus heptneri,Unknown
4971,Salpingotus kozlovi,Unknown
4972,Salpingotus pallidus,Unknown
4973,Sciurotamias davidianus,Unknown
4974,Sciurus anomalus,Decreasing
4975,Sciurus deppei,Stable
4976,Sciurus granatensis,Stable
4977,Sciurus griseus,Unknown
4978,Sciurus igniventris,Unknown
4979,Sciurus lis,Stable
4980,Sciurus nayaritensis,Unknown
4981,Sciurus niger,Stable
4982,Sciurus spadiceus,Unknown
4983,Sciurus stramineus,Unknown
4984,Sciurus vulgaris,Decreasing
4985,Sciurus yucatanensis,Stable
4986,Scolomys melanops,Unknown
4987,Scolomys ucayalensis,Unknown
4988,Sekeetamys calurus,Stable
4989,Selevinia betpakdalaensis,Unknown
4990,Sicista betulina,Unknown
4991,Sicista concolor,Unknown
4992,Sicista napaea,Unknown
4993,Sicista strandi,Stable
4994,Sigmodon alstoni,Unknown
4995,Sigmodon hispidus,Increasing
4996,Sigmodon mascotensis,Stable
4997,Sigmodon ochrognathus,Unknown
4998,Sigmodontomys alfari,Stable
4999,Sorex leucogaster,Unknown
5000,Sorex arizonae,Unknown
5001,Spermophilopsis leptodactylus,Unknown
5002,Spermophilus alashanicus,Decreasing
5003,Spermophilus dauricus,Unknown
5004,Spermophilus erythrogenys,Stable
5005,Steatomys jacksoni,Unknown
5006,Steatomys krebsii,Stable
5007,Steatomys pratensis,Stable
5008,Stenocephalemys griseicauda,Decreasing
5009,Rattus niobe,Stable
5010,Rattus verecundus,Stable
5011,Surdisorex norae,Stable
5012,Surdisorex polulus,Stable
5013,Suncus dayi,Decreasing
5014,Suncus hosei,Unknown
5015,Suncus mertensi,Decreasing
5016,Sundasciurus fraterculus,Decreasing
5017,Sundasciurus rabori,Unknown
5018,Sylvisorex morio,Decreasing
5019,Sylvisorex oriundus,Unknown
5020,Tachyoryctes macrocephalus,Decreasing
5021,Eutamias sibiricus,Stable
5022,Gerbilliscus boehmi,Stable
5023,Gerbilliscus brantsii,Unknown
5024,Gerbilliscus inclusus,Unknown
5025,Gerbilliscus leucogaster,Stable
5026,Gerbilliscus robustus,Stable
5027,Taterillus arenarius,Unknown
5028,Taterillus emini,Unknown
5029,Taterillus gracilis,Stable
5030,Thallomys loringi,Unknown
5031,Thallomys nigricauda,Unknown
5032,Thallomys paedulcus,Unknown
5033,Thomomys bottae,Stable
5034,Thomomys umbrinus,Unknown
5035,Thomomys mazama,Decreasing
5036,Thryonomys swinderianus,Unknown
5037,Lophostoma brasiliense,Stable
5038,Tragelaphus buxtoni,Decreasing
5039,Tragelaphus eurycerus,Decreasing
5040,Tragelaphus spekii,Decreasing
5041,Tragelaphus scriptus,Stable
5042,Tragelaphus angasii,Stable
5043,Tragelaphus imberbis,Decreasing
5044,Tragelaphus oryx,Stable
5045,Tscherskia triton,Unknown
5046,Tupaia nicobarica,Decreasing
5047,Microtus clarkei,Stable
5048,Juliomys pictipes,Unknown
5049,Xerus erythropus,Stable
5050,Xerus inauris,Stable
5051,Xerus princeps,Stable
5052,Xerus rutilus,Stable
5053,Zapus trinotatus,Unknown
5054,Zelotomys woosnami,Stable
5055,Zelotomys hildegardeae,Stable
5056,Hylaeamys megacephalus,Unknown
5057,Euryoryzomys russatus,Stable
5058,Crunomys suncoides,Unknown
5059,Voalavo gymnocaudus,Stable
5060,Neomys fodiens,Stable
5061,Sorex araneus,Stable
5062,Sorex isodon,Unknown
5063,Sorex minutissimus,Unknown
5064,Sorex minutus,Stable
5065,Isoodon obesulus,Decreasing
5066,Perameles nasuta,Unknown
5067,Atelerix albiventris,Stable
5068,Erinaceus amurensis,Stable
5069,Paraechinus hypomelas,Unknown
5070,Hylomys suillus,Stable
5071,Mesechinus dauuricus,Stable
5072,Chimarrogale himalayica,Unknown
5073,Chimarrogale styani,Unknown
5074,Crocidura bottegi,Unknown
5075,Crocidura crossei,Unknown
5076,Crocidura cyanea,Stable
5077,Crocidura dsinezumi,Stable
5078,Crocidura dolichura,Unknown
5079,Crocidura fuliginosa,Unknown
5080,Crocidura fulvastra,Stable
5081,Crocidura fuscomurina,Unknown
5082,Praomys obscurus,Decreasing
5083,Lemniscomys zebra,Stable
5084,Crocidura cinderella,Unknown
5085,Crocidura hildegardeae,Unknown
5086,Crocidura hirta,Unknown
5087,Crocidura jacksoni,Stable
5088,Crocidura lasiura,Unknown
5089,Crocidura littoralis,Unknown
5090,Crocidura luna,Unknown
5091,Crocidura lusitania,Unknown
5092,Crocidura macarthuri,Unknown
5093,Crocidura mariquensis,Unknown
5094,Crocidura maurisca,Unknown
5095,Crocidura maxi,Unknown
5096,Crocidura muricauda,Unknown
5097,Crocidura mutesae,Unknown
5098,Crocidura nanilla,Stable
5099,Crocidura nigeriae,Unknown
5100,Crocidura nigrofusca,Unknown
5101,Crocidura olivieri,Unknown
5102,Crocidura parvipes,Stable
5103,Crocidura pasha,Unknown
5104,Crocidura planiceps,Unknown
5105,Crocidura poensis,Unknown
5106,Crocidura roosevelti,Unknown
5107,Crocidura sibirica,Unknown
5108,Crocidura silacea,Stable
5109,Crocidura smithii,Unknown
5110,Crocidura somalica,Unknown
5111,Crocidura viaria,Stable
5112,Crocidura voi,Stable
5113,Crocidura yankariensis,Stable
5114,Crocidura zaphiri,Unknown
5115,Crocidura zarudnyi,Unknown
5116,Cryptotis parva,Stable
5117,Paracrocidura schoutedeni,Unknown
5118,Sorex arcticus,Stable
5119,Sorex bendirii,Unknown
5120,Sorex cinereus,Stable
5121,Sorex daphaenodon,Stable
5122,Sorex dispar,Unknown
5123,Sorex gracillimus,Stable
5124,Sorex haydeni,Stable
5125,Sorex hoyi,Stable
5126,Sorex longirostris,Stable
5127,Sorex merriami,Unknown
5128,Sorex nanus,Unknown
5129,Sorex ornatus,Stable
5130,Sorex palustris,Stable
5131,Sorex portenkoi,Unknown
5132,Sorex roboratus,Unknown
5133,Sorex satunini,Unknown
5134,Sorex trowbridgii,Stable
5135,Sorex tundrensis,Stable
5136,Sorex ugyunak,Stable
5137,Sorex unguiculatus,Stable
5138,Sorex vagrans,Stable
5139,Chodsigoa hypsibia,Unknown
5140,Episoriculus leucops,Unknown
5141,Episoriculus macrurus,Unknown
5142,Chodsigoa parca,Unknown
5143,Diplomesodon pulchellum,Stable
5144,Anourosorex squamipes,Unknown
5145,Blarina brevicauda,Stable
5146,Blarina carolinensis,Stable
5147,Blarina hylophaga,Stable
5148,Notiosorex crawfordi,Stable
5149,Condylura cristata,Stable
5150,Euroscaptor klossi,Unknown
5151,Neurotrichus gibbsii,Stable
5152,Parascalops breweri,Stable
5153,Scalopus aquaticus,Stable
5154,Scapanulus oweni,Unknown
5155,Scapanus latimanus,Stable
5156,Scapanus orarius,Stable
5157,Scaptochirus moschatus,Unknown
5158,Tupaia gracilis,Decreasing
5159,Ammospermophilus harrisii,Unknown
5160,Ammospermophilus interpres,Unknown
5161,Ammospermophilus leucurus,Stable
5162,Cynomys gunnisoni,Decreasing
5163,Marmota flaviventris,Stable
5164,Marmota monax,Stable
5165,Sundasciurus davensis,Unknown
5166,Neotamias amoenus,Stable
5167,Neotamias dorsalis,Stable
5168,Neotamias minimus,Stable
5169,Neotamias quadrivittatus,Stable
5170,Neotamias rufus,Stable
5171,Neotamias sonomae,Stable
5172,Neotamias speciosus,Stable
5173,Tamias striatus,Stable
5174,Neotamias townsendii,Stable
5175,Neotamias umbrinus,Stable
5176,Tamiasciurus douglasii,Stable
5177,Tamiasciurus hudsonicus,Stable
5178,Geomys bursarius,Stable
5179,Geomys pinetis,Unknown
5180,Orthogeomys grandis,Stable
5181,Thomomys talpoides,Stable
5182,Thomomys townsendii,Stable
5183,Dipodomys californicus,Stable
5184,Dipodomys panamintinus,Stable
5185,Microdipodops megacephalus,Decreasing
5186,Microdipodops pallidus,Decreasing
5187,Perognathus fasciatus,Stable
5188,Perognathus parvus,Stable
5189,Napaeozapus insignis,Stable
5190,Zapus hudsonius,Stable
5191,Zapus princeps,Stable
5192,Myodes californicus,Stable
5193,Myodes gapperi,Stable
5194,Dicrostonyx groenlandicus,Unknown
5195,Dicrostonyx hudsonius,Stable
5196,Dicrostonyx richardsoni,Stable
5197,Lemmiscus curtatus,Stable
5198,Microtus chrotorrhinus,Decreasing
5199,Microtus longicaudus,Stable
5200,Microtus miurus,Stable
5201,Microtus ochrogaster,Stable
5202,Microtus oregoni,Stable
5203,Microtus pinetorum,Stable
5204,Microtus richardsoni,Stable
5205,Phenacomys intermedius,Stable
5206,Phenacomys ungava,Stable
5207,Synaptomys cooperi,Unknown
5208,Allocricetulus curtatus,Unknown
5209,Abditomys latidens,Unknown
5210,Apodemus argenteus,Stable
5211,Pseudomys bolami,Stable
5212,Pseudomys chapmani,Stable
5213,Neacomys tenuipes,Stable
5214,Neotoma floridana,Decreasing
5215,Neotoma stephensi,Stable
5216,Peromyscus attwateri,Stable
5217,Peromyscus gossypinus,Stable
5218,Peromyscus polionotus,Unknown
5219,Mylomys dybowskii,Unknown
5220,Neotoma cinerea,Stable
5221,Ochrotomys nuttalli,Stable
5222,Oryzomys palustris,Stable
5223,Reithrodontomys humulis,Stable
5224,Graphiurus nagtglasii,Unknown
5225,Graphiurus johnstoni,Unknown
5226,Acomys johannis,Stable
5227,Myosorex zinki,Stable
5228,Sylvisorex pluvialis,Unknown
5229,Sylvisorex camerunensis,Decreasing
5230,Desmomys yaldeni,Unknown
5231,Lophuromys dieterleni,Decreasing
5232,Lophuromys chrysopus,Unknown
5233,Otomys cuanzensis,Stable
5234,Thamnomys schoutedeni,Unknown
5235,Myomyscus angolensis,Stable
5236,Praomys daltoni,Stable
5237,Praomys derooi,Stable
5238,Stenocephalemys ruppi,Unknown
5239,Myomyscus brockmani,Stable
5240,Sooretamys angouya,Unknown
5241,Peromyscus keeni,Stable
5242,Apodemus witherbyi,Unknown
5243,Akodon montensis,Decreasing
5244,Eliurus danieli,Unknown
5245,Calomyscus grandis,Unknown
5246,Notiosorex evotis,Unknown
5247,Eothenomys miletus,Unknown
5248,Melomys talaudium,Decreasing
5249,Eliurus ellermani,Unknown
5250,Allactaga williamsi,Decreasing
5251,Crocidura jouvenetae,Unknown
5252,Nesomys lambertoni,Unknown
5253,Congosorex phillipsorum,Decreasing
5254,Oecomys catherinae,Decreasing
5255,Melomys paveli,Unknown
5256,Vandeleuria nilagirica,Decreasing
5257,Calomyscus elburzensis,Unknown
5258,Chrotomys sibuyanensis,Unknown
5259,Cryptotis merriami,Stable
5260,Peromyscus fraterculus,Unknown
5261,Rhipidomys macrurus,Unknown
5262,Sigmodon hirsutus,Increasing
5263,Crocidura caspica,Unknown
5264,Crocidura vosmaeri,Unknown
5265,Funisciurus duchaillui,Unknown
5266,Melomys cooperae,Unknown
5267,Acomys dimidiatus,Unknown
5268,Hydromys ziegleri,Unknown
5269,Necromys lenguarum,Stable
5270,Melomys howi,Unknown
5271,Rhynchomys tapulao,Unknown
5272,Spermophilus brevicauda,Unknown
5273,Uromys siebersi,Unknown
5274,Macrotarsomys petteri,Unknown
5275,Niviventer cameroni,Decreasing
5276,Rattus satarae,Decreasing
5277,Hylaeamys perenensis,Stable
5278,Scapteromys aquaticus,Stable
5279,Sigmodon toltecus,Unknown
5280,Spalax uralensis,Unknown
5281,Anourosorex schmidi,Unknown
5282,Chaetodipus eremicus,Unknown
5283,Oxymycterus quaestor,Unknown
5284,Pedetes surdaster,Unknown
5285,Oecomys auyantepui,Unknown
5286,Phyllotis limatus,Stable
5287,Dipodomys simulans,Unknown
