,Host,populationTrend
368,Presbytis siberu,Decreasing
369,Presbytis sabana,Decreasing
370,Trachypithecus margarita,Decreasing
371,Trachypithecus leucocephalus,Decreasing
372,Trachypithecus auratus,Decreasing
373,Hylobates funereus,Decreasing
374,Hylobates abbotti,Decreasing
375,Hylobates muelleri,Decreasing
376,Pithecia vanzolinii,Decreasing
377,Pithecia chrysocephala,Decreasing
378,Dicerorhinus sumatrensis,Decreasing
379,Rhinoceros sondaicus,Stable
380,Rhinoceros unicornis,Increasing
381,Lama guanicoe,Increasing
382,Choeropsis liberiensis,Decreasing
383,Hippopotamus amphibius,Stable
384,Microgale jobihely,Unknown
385,Dendrohyrax dorsalis,Unknown
386,Dendrohyrax arboreus,Decreasing
387,Heterohyrax brucei,Unknown
388,Neamblysomus gunningi,Unknown
389,Eremitalpa granti,Unknown
390,Amblysomus septentrionalis,Decreasing
391,Calcochloris obtusirostris,Unknown
392,Amblysomus marleyi,Unknown
393,Amblysomus robustus,Unknown
394,Amblysomus corriae,Unknown
395,Neamblysomus julianae,Unknown
396,Chlorotalpa duthieae,Unknown
397,Calcochloris tytonis,Unknown
398,Chlorotalpa sclateri,Unknown
399,Procavia capensis,Stable
400,Cryptochloris zyli,Unknown
401,Amblysomus hottentotus,Unknown
402,Orycteropus afer,Unknown
403,Rhynchocyon petersi,Decreasing
404,Cryptochloris wintoni,Unknown
405,Rhynchocyon chrysopygus,Decreasing
406,Rhynchocyon udzungwensis,Unknown
407,Micropotamogale ruwenzorii,Unknown
408,Chrysochloris visagiei,Unknown
409,Dendrohyrax validus,Decreasing
410,Chrysochloris stuhlmanni,Unknown
411,Chrysochloris asiatica,Unknown
412,Elephantulus fuscus,Unknown
413,Elephantulus fuscipes,Unknown
414,Elephantulus brachyrhynchus,Unknown
415,Huetia leucorhina,Unknown
416,Elephantulus rufescens,Stable
417,Carpitalpa arendsi,Unknown
418,Elephantulus rozeti,Unknown
419,Elephantulus myurus,Stable
420,Elephantulus intufi,Unknown
421,Chrysospalax trevelyani,Decreasing
422,Elephantulus edwardii,Unknown
423,Chrysospalax villosus,Unknown
424,Elephantulus rupestris,Unknown
425,Petrodromus tetradactylus,Unknown
426,Elephantulus pilicaudus,Unknown
427,Lutrogale perspicillata,Decreasing
428,Lutra lutra,Decreasing
429,Hydrictis maculicollis,Decreasing
430,Lontra canadensis,Stable
431,Lutra sumatrana,Decreasing
432,Lontra longicaudis,Decreasing
433,Lontra provocax,Decreasing
434,Pteronura brasiliensis,Decreasing
435,Aonyx capensis,Decreasing
436,Aonyx cinereus,Decreasing
437,Enhydra lutris,Decreasing
438,Murexia naso,Unknown
439,Murexia rothschildi,Unknown
440,Murexia habbema,Stable
441,Murexia melanurus,Stable
442,Murexia longicaudata,Unknown
443,Dasykaluta rosamondae,Unknown
444,Phascolosorex dorsalis,Stable
445,Phascolosorex doriae,Unknown
446,Antechinomys laniger,Decreasing
447,Neophascogale lorentzii,Unknown
448,Ningaui yvonneae,Stable
449,Ningaui ridei,Stable
450,Ningaui timealeyi,Stable
451,Dasyuroides byrnei,Decreasing
452,Phascogale calura,Stable
453,Phascogale pirata,Unknown
454,Parantechinus apicalis,Decreasing
455,Planigale maculata,Stable
456,Planigale tenuirostris,Stable
457,Planigale gilesi,Unknown
458,Planigale ingrami,Stable
459,Planigale novaeguineae,Unknown
460,Myoictis wallacei,Unknown
461,Myoictis melas,Unknown
462,Myoictis wavicus,Unknown
463,Myoictis leucura,Unknown
464,Pseudantechinus bilarni,Decreasing
465,Pseudantechinus woolleyae,Unknown
466,Pseudantechinus mimulus,Decreasing
467,Pseudantechinus macdonnellensis,Unknown
468,Pseudantechinus ningbing,Unknown
469,Pseudantechinus roryi,Unknown
470,Dasycercus cristicauda,Stable
471,Dasycercus blythi,Unknown
472,Antechinus godmani,Stable
473,Antechinus leo,Stable
474,Antechinus subtropicus,Decreasing
475,Antechinus flavipes,Stable
476,Antechinus swainsonii,Unknown
477,Antechinus bellus,Decreasing
478,Antechinus adustus,Decreasing
479,Antechinus agilis,Unknown
480,Antechinus stuartii,Stable
481,Antechinus minimus,Decreasing
482,Dasyurus maculatus,Decreasing
483,Dasyurus albopunctatus,Decreasing
484,Dasyurus spartacus,Unknown
485,Dasyurus viverrinus,Decreasing
486,Dasyurus hallucatus,Decreasing
487,Dasyurus geoffroii,Stable
488,Sminthopsis psammophila,Decreasing
489,Sminthopsis butleri,Decreasing
490,Sminthopsis archeri,Unknown
491,Sminthopsis gilberti,Stable
492,Sminthopsis douglasi,Decreasing
493,Sminthopsis hirtipes,Unknown
494,Sminthopsis granulipes,Unknown
495,Sminthopsis crassicaudata,Stable
496,Sminthopsis griseoventer,Unknown
497,Sminthopsis dolichura,Stable
498,Sminthopsis virginiae,Stable
499,Sminthopsis youngsoni,Stable
500,Sminthopsis bindi,Decreasing
501,Sminthopsis longicaudata,Unknown
502,Sminthopsis macroura,Unknown
503,Sminthopsis murina,Decreasing
504,Sminthopsis ooldea,Unknown
505,Thylacinus cynocephalus,
506,Myrmecobius fasciatus,Decreasing
507,Ailurops melanotis,Decreasing
508,Ailurops ursinus,Decreasing
509,Spilocuscus rufoniger,Decreasing
510,Spilocuscus papuensis,Unknown
511,Spilocuscus wilsoni,Decreasing
512,Spilocuscus kraemeri,Decreasing
513,Spilocuscus maculatus,Stable
514,Wyulda squamicaudata,Decreasing
515,Phalanger intercastellanus,Decreasing
516,Phalanger alexandrae,Decreasing
517,Phalanger vestitus,Decreasing
518,Phalanger matanim,Unknown
519,Phalanger rothschildi,Stable
520,Phalanger carmelitae,Stable
521,Phalanger ornatus,Stable
522,Phalanger matabiru,Stable
523,Phalanger sericeus,Unknown
524,Phalanger gymnotis,Decreasing
525,Phalanger lullulae,Stable
526,Phalanger orientalis,Stable
527,Phalanger mimicus,Decreasing
528,Strigocuscus celebensis,Decreasing
529,Strigocuscus pelengensis,Stable
530,Trichosurus caninus,Stable
531,Trichosurus cunninghami,Stable
532,Trichosurus vulpecula,Decreasing
533,Dorcopsis luctuosa,Decreasing
534,Dorcopsis muelleri,Stable
535,Dorcopsis hageni,Stable
536,Dorcopsis atrata,Decreasing
537,Wallabia bicolor,Increasing
538,Dorcopsulus vanheurni,Decreasing
539,Dorcopsulus macleayi,Stable
540,Macropus giganteus,Stable
541,Macropus parma,Unknown
542,Macropus irma,Stable
543,Macropus rufogriseus,Stable
544,Macropus robustus,Stable
545,Macropus rufus,Stable
546,Macropus dorsalis,Decreasing
547,Macropus antilopinus,Decreasing
548,Macropus eugenii,Stable
549,Macropus parryi,Stable
550,Macropus fuliginosus,Increasing
551,Macropus agilis,Decreasing
552,Macropus bernardus,Unknown
553,Lagorchestes leporides,
554,Lagorchestes conspicillatus,Decreasing
555,Lagorchestes hirsutus,Stable
556,Lagorchestes asomatus,
557,Petrogale mareeba,Stable
558,Petrogale herberti,Unknown
559,Petrogale inornata,Unknown
560,Petrogale godmani,Decreasing
