Host,redlistCategory,NVirion,NZoon,Nvirion,Nzoon
crunomys suncoides,Data Deficient,0,0,0,0
cryptomys mahali,Data Deficient,0,0,0,0
cryptonanus agricolai,Data Deficient,0,0,0,0
cryptonanus guahybae,Data Deficient,0,0,0,0
cryptonanus unduaviensis,Data Deficient,0,0,0,0
cryptotis alticola,Data Deficient,0,0,0,0
cryptotis brachyonyx,Data Deficient,0,0,0,0
cryptotis cavatorculus,Data Deficient,0,0,0,0
cryptotis celaque,Data Deficient,0,0,0,0
cryptotis dinirensis,Data Deficient,0,0,0,0
cryptotis hondurensis,Data Deficient,0,0,0,0
cryptotis lacertosus,Data Deficient,0,0,0,0
cryptotis mam,Data Deficient,0,0,0,0
cryptotis mccarthyi,Data Deficient,0,0,0,0
cryptotis niausa,Data Deficient,0,0,0,0
cryptotis oreoryctes,Data Deficient,0,0,0,0
cryptotis orophila,Data Deficient,0,0,0,0
cryptotis peregrina,Data Deficient,0,0,0,0
cryptotis perijensis,Data Deficient,0,0,0,0
cryptotis peruviensis,Data Deficient,0,0,0,0
cryptotis tropicalis,Data Deficient,0,0,0,0
cryptotis venezuelensis,Data Deficient,0,0,0,0
ctenodactylus vali,Data Deficient,0,0,0,0
ctenomys brasiliensis,Data Deficient,0,0,0,0
ctenomys colburni,Data Deficient,0,0,0,0
ctenomys coludo,Data Deficient,0,0,0,0
ctenomys coyhaiquensis,Data Deficient,0,0,0,0
ctenomys dorsalis,Data Deficient,0,0,0,0
ctenomys famosus,Data Deficient,0,0,0,0
ctenomys fochi,Data Deficient,0,0,0,0
ctenomys fodax,Data Deficient,0,0,0,0
ctenomys fulvus,Data Deficient,0,0,0,0
ctenomys ibicuiensis,Data Deficient,0,0,0,0
ctenomys johannis,Data Deficient,0,0,0,0
ctenomys juris,Data Deficient,0,0,0,0
ctenomys knighti,Data Deficient,0,0,0,0
ctenomys minutus,Data Deficient,0,0,0,0
ctenomys pontifex,Data Deficient,0,0,0,0
ctenomys saltarius,Data Deficient,0,0,0,0
ctenomys scagliai,Data Deficient,0,0,0,0
ctenomys sericeus,Data Deficient,0,0,0,0
ctenomys tuconax,Data Deficient,0,0,0,0
ctenomys tucumanus,Data Deficient,0,0,0,0
ctenomys tulduco,Data Deficient,0,0,0,0
ctenomys validus,Data Deficient,0,0,0,0
ctenomys viperinus,Data Deficient,0,0,0,0
ctenomys yolandae,Data Deficient,0,0,0,0
cuscomys ashaninka,Data Deficient,0,0,0,0
cuscomys oblativa,Data Deficient,0,0,0,0
cynomops abrasus,Data Deficient,0.30103,0.30103,1,1
cynomops paranus,Data Deficient,0,0,0,0
dacnomys millardi,Data Deficient,0,0,0,0
dactylomys peruanus,Data Deficient,0,0,0,0
dasymys foxi,Data Deficient,0,0,0,0
dasymys nudipes,Data Deficient,0,0,0,0
dasyprocta azarae,Data Deficient,0,0,0,0
dasyprocta croconota,Data Deficient,0,0,0,0
dasyprocta iacki,Data Deficient,0,0,0,0
